"filename", "language", "JavaScript", "PHP", "JSON", "YAML", "Markdown", "PostCSS", "XML", "Docker", "Makefile", "Shell Script", "Happy", "reStructuredText", "pip requirements", "Python", "Dotenv", "Assembly", "Properties", "HTML", "Ruby", "CSV", "TypeScript", "Ini", "Batch", "Log", "MS SQL", "comment", "blank", "total"
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_05_01_000002_add_contact_fields_to_doctor_profiles.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_05_02_000001_make_appointments_service_id_nullable.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_05_02_000002_revert_appointments_service_id_to_not_null.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_05_04_000001_drop_appointment_status_history_table.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_05_08_000001_create_dynamic_availability_tables.php", "PHP", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 178
"c:\Users\Brahim\Desktop\Prenoting\database\migrations\2026_05_11_000001_add_cancellation_actor_to_appointments.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\Brahim\Desktop\Prenoting\database\seeders\DatabaseSeeder.php", "PHP", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 94
"c:\Users\Brahim\Desktop\Prenoting\docker-compose.yml", "YAML", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 80
"c:\Users\Brahim\Desktop\Prenoting\docs\casi_uso.md", "Markdown", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 146
"c:\Users\Brahim\Desktop\Prenoting\docs\er-diagram.md", "Markdown", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 121
"c:\Users\Brahim\Desktop\Prenoting\docs\project-deep-dive.md", "Markdown", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 131
"c:\Users\Brahim\Desktop\Prenoting\docs\superpowers\plans\2026-04-23-docker-development.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
